Partner_ID,Region,Partner_Tier,Years_In_Network,Login_Freq_Last_30d,Login_Trend_Index,Dashboard_Usage_Minutes,Referral_Volume_30d,Referral_Growth_Rate,Support_Tickets_Open,Recent_Feedback_Sentiment,Days_Since_Last_Contact,Commission_Payout_Last_30d,Unresolved_Disputes_Count,Competitor_Mentioned,Technical_Integration_Issues,Churn_Probability,Churn_Label
PARTNER_0000,AMER,Bronze,2.8,8,0.7937687243737771,13.157197160712556,46,-0.021229844930805764,1,-0.2342197228146381,47,459.14828112790076,0,0,0,0.15305512148811062,0
PARTNER_0001,LATAM,Bronze,2.7,16,0.8980399718464974,23.209114429817635,54,0.017146068831750978,1,-0.18968895389132795,17,539.0001561066662,0,0,1,0.09208139602045057,0
PARTNER_0002,EMEA,Silver,0.6,11,1.2697076224192683,,41,-0.10807601911147212,0,-0.20547999691582136,1,409.24085926617244,1,0,0,0.07155008134575634,0
PARTNER_0003,AMER,Bronze,2.0,14,1.110425691723624,77.34167247996103,57,0.08890990028474444,1,0.013693841046927724,15,568.9446092237031,0,0,0,0.02363399732265383,0
PARTNER_0004,AMER,Bronze,2.2,14,1.1224447023773954,55.994228611359105,52,-0.18837056253659834,1,0.34992654608773976,28,519.0371873619748,0,0,0,0.029636379548830444,0
PARTNER_0005,LATAM,Silver,2.3,10,0.6667545888414708,49.25797784435626,52,0.07618064725106198,1,0.06944131807481058,32,519.0371873619748,0,0,0,0.0773728217177186,0
PARTNER_0006,EMEA,Bronze,3.1,15,0.7197692526894262,55.43905850961366,38,0.062098193473790045,0,0.5087660813748547,15,379.2964061491354,0,0,0,0.005598648135773903,0
PARTNER_0007,EMEA,Bronze,2.9,10,0.3821842681029145,,43,-0.008198403589209407,1,0.43504905773319924,34,429.2038280108638,0,0,0,0.09962646855906158,0
PARTNER_0008,AMER,Bronze,3.2,15,0.7881238357834491,127.56939350275873,53,-0.2299571642580309,1,,46,529.0186717343205,0,0,0,0.3530280735500985,1
PARTNER_0009,APAC,Bronze,3.9,14,1.1413406372771315,18.560461207342417,52,-0.19233031203192694,0,-0.4365058896830329,42,519.0371873619748,0,0,0,0.04464093719293365,0
PARTNER_0010,AMER,Bronze,4.2,16,1.0533893031496742,47.951909636576,51,0.003993527772492584,2,0.641324033199488,41,509.05570298962914,0,0,1,0.03628286948734632,0
PARTNER_0011,AMER,Bronze,3.7,6,0.9056973474095752,5.9502759134807075,58,-0.04327920003854473,2,-0.39621961346826456,16,578.9260935960488,0,0,0,0.4866466240261709,0
PARTNER_0012,AMER,Bronze,4.8,6,0.9455399432563893,59.610710081914256,44,0.05273302849030036,0,-0.30715906506437296,3,439.1853123832094,0,0,0,0.022320981993019188,0
PARTNER_0013,AMER,Bronze,0.6,11,0.8122228914849188,69.3416334963556,50,-0.026821629173123702,1,-0.4712267417744465,48,499.07421861728346,0,0,0,0.24024891953766478,1
PARTNER_0014,LATAM,Gold,1.4,10,0.9909517764803568,3.3378822063677034,50,-0.035518063225233404,1,0.31683727488825,3,499.07421861728346,0,0,0,0.026011106929506037,0
PARTNER_0015,EMEA,Gold,0.5,12,1.103175655896123,32.767626354063154,55,-0.26263175734587335,0,0.25708173210585317,50,548.9816404790118,0,0,0,0.012108032538665915,0
PARTNER_0016,LATAM,Silver,3.4,6,0.6268226425179053,55.92358489707333,45,0.06224323117726177,1,0.7829747663658324,24,449.1667967555551,0,0,0,0.016514278194121716,0
PARTNER_0017,LATAM,Bronze,4.5,15,1.0099295375674695,43.2473484792599,48,-0.08491461847589074,1,0.6530121152123236,32,479.1112498725921,0,1,0,0.08926354197092273,0
PARTNER_0018,LATAM,Bronze,1.6,4,1.1364869741909334,10.755324503491025,58,-0.05982059237192233,4,0.03409613072518258,13,578.9260935960488,0,0,0,0.7763604177640322,1
PARTNER_0019,AMER,Silver,4.7,11,0.866979942207326,,54,-0.12697790431091505,0,-0.01693840681370451,23,539.0001561066662,0,0,0,0.02790406306505315,0
PARTNER_0020,APAC,Bronze,0.8,9,1.0901401224241167,29.883342058220094,50,-0.17404110639503476,1,-0.11409235543601937,10,499.07421861728346,0,0,0,0.0920359893269278,0
PARTNER_0021,EMEA,Silver,4.7,11,1.5129308888945106,23.54272260405189,56,0.1272137828165119,1,-0.3018710039507542,24,558.9631248513574,0,0,1,0.013480082521391431,0
PARTNER_0022,APAC,Bronze,2.1,10,0.9291314414026216,25.40500717321473,48,0.05954876949548882,2,-0.32049124641738824,27,479.1112498725921,0,0,0,0.3264333219320328,1
PARTNER_0023,LATAM,Bronze,1.0,9,1.0286614100010647,9.3130319149067,55,0.0611995575354132,0,-0.32803117958751293,6,548.9816404790118,0,0,0,0.017798111657119337,0
PARTNER_0024,LATAM,Bronze,2.7,10,0.8023885832677217,34.15056018804828,43,-0.04165106180993677,1,-0.3516508156571879,48,429.2038280108638,0,0,0,0.20400726330185143,0
PARTNER_0025,APAC,Bronze,1.7,12,0.98625023252041,94.45328341280215,45,-0.19379224459657948,0,-0.18733434487280198,35,449.1667967555551,2,0,0,0.5950192307599675,1
PARTNER_0026,APAC,Bronze,1.8,13,1.0420543249964607,11.21924359968672,55,0.19020447558378062,0,-0.10133078059294864,9,548.9816404790118,0,0,0,0.005860434099794188,0
PARTNER_0027,APAC,Silver,1.9,6,0.9889684680540276,27.97710818891708,49,0.02222916312633959,4,0.7500526623505908,48,489.0927342449378,1,0,1,0.7972260232574833,1
PARTNER_0028,LATAM,Gold,4.1,9,0.7460609360582287,51.67797423871089,38,-0.006321079992300431,1,0.25201522630245143,35,379.2964061491354,0,0,0,0.05504758628848782,0
PARTNER_0029,LATAM,Bronze,2.9,12,0.9912723542650901,7.142704889784126,52,-0.05591330222970778,0,0.7838745068672652,30,519.0371873619748,0,0,0,0.002005508482284863,0
PARTNER_0030,EMEA,Bronze,1.9,8,1.2424391877435275,34.410775595355645,48,-0.22445562529376148,0,-0.01579296782662476,18,479.1112498725921,0,1,1,0.09195349430239241,1
PARTNER_0031,EMEA,Bronze,3.2,9,1.0397271529029055,67.92412892437144,35,0.09415587322767223,2,0.09491462236627335,17,349.35195303209844,0,0,0,0.09681796926787338,0
PARTNER_0032,LATAM,Bronze,3.7,10,1.1423974378143682,13.697618494519311,50,-0.12577035069022555,2,-0.07804774308513707,48,499.07421861728346,0,0,0,0.2263579762830674,0
PARTNER_0033,APAC,Bronze,1.7,13,0.9025976059974744,36.967501393948005,39,0.034656916286225595,1,-0.2622460538344815,5,389.2778905214811,1,0,1,0.4035234444772725,0
PARTNER_0034,APAC,Bronze,2.4,15,1.0999800478847421,64.6232164697845,39,0.0570833961123564,2,-0.31388587988914707,27,389.2778905214811,0,0,0,0.22381709295400193,0
PARTNER_0035,EMEA,Bronze,1.0,4,1.0058535676433051,136.59172670461973,43,0.013415762187315505,0,0.7286029571501815,6,429.2038280108638,0,0,0,0.0016708823740272925,0
PARTNER_0036,LATAM,Bronze,1.3,14,0.7598178540625535,35.56355989533437,59,0.02699735403318847,2,0.7828538863383825,37,588.9075779683944,0,0,0,0.054962280836511876,0
PARTNER_0037,EMEA,Silver,3.6,16,1.0137042009597748,18.094856872619893,46,0.11461197518982967,2,-0.441617654538649,56,459.14828112790076,1,0,0,0.7118700183401567,1
PARTNER_0038,EMEA,Bronze,1.3,9,0.7516606673119378,18.22940023955431,50,-0.09924154118329719,2,-0.3045503628487035,11,499.07421861728346,1,0,0,0.9005508407327716,1
PARTNER_0039,AMER,Silver,2.9,10,0.8234239450230416,8.762645853172401,54,-0.0035497409956494197,0,0.05058131999132942,40,539.0001561066662,0,0,0,0.01658510380656266,0
PARTNER_0040,AMER,Bronze,3.7,10,0.9878656614584748,99.53223278245665,61,-0.04251054046798361,0,-0.2577664807522705,49,608.8705467130858,0,0,0,0.025353980206530506,0
PARTNER_0041,AMER,Bronze,1.0,16,1.0094488546760247,61.96515770719304,57,-0.2039565047822103,3,-0.026955488285051732,33,568.9446092237031,0,0,0,0.7015873553025395,1
PARTNER_0042,APAC,Silver,3.1,11,0.7121535069845741,11.948781361873435,41,0.008633332986700888,0,-0.3321747451824766,24,409.24085926617244,0,1,0,0.30141748844672367,0
PARTNER_0043,LATAM,Bronze,1.7,12,1.1607971542365751,17.194765466295735,42,0.10512505965246859,0,0.0934652837383273,16,419.2223436385181,0,0,0,0.003552464467625476,0
PARTNER_0044,LATAM,Bronze,4.8,13,1.0644012556600946,35.12202498234473,45,0.11763341586771943,2,-0.14679699897996296,52,449.1667967555551,0,0,0,0.14224776418010368,0
PARTNER_0045,LATAM,Silver,2.7,14,0.8090543128778231,67.57653983796133,48,0.16574772092957302,0,-0.04252342751374094,32,479.1112498725921,0,0,0,0.011163877734904383,0
PARTNER_0046,LATAM,Silver,4.1,10,0.6424830407101649,,44,-0.1973719124589243,2,-0.37739355309842815,22,439.1853123832094,0,0,0,0.7867629285598597,1
PARTNER_0047,AMER,Bronze,3.0,15,0.9210190841837137,44.77209023605848,47,0.14286276978812415,1,0.05656646592318426,8,469.12976550024644,1,1,0,0.5803171612113494,1
PARTNER_0048,APAC,Bronze,0.7,20,0.860811257227768,38.81578653602605,59,-0.00151602356396199,0,0.7782348942500408,5,588.9075779683944,0,1,0,0.01760246821851428,0
PARTNER_0049,APAC,Bronze,3.3,11,0.9726280914106045,12.58599968184254,53,0.14005625073699599,0,,1,529.0186717343205,0,0,0,0.008188383528010509,0
